2,0574f85e63f873b7a5b931392fce35c3,24.52559,118.157383,49.9,164,1592928016,1
3,0574f85e63f873b7a5b931392fce35c3,24.523464,118.15895,66.5,145,1592928032,1
4,0574f85e63f873b7a5b931392fce35c3,24.521467,118.160445,67.0,146,1592928047,1
5,0574f85e63f873b7a5b931392fce35c3,24.519842,118.16192,45.7,107,1592928061,1
6,0574f85e63f873b7a5b931392fce35c3,24.520487,118.163917,55.9,61,1592928076,1
7,0574f85e63f873b7a5b931392fce35c3,24.521805,118.165427,52.1,41,1592928091,1
8,0574f85e63f873b7a5b931392fce35c3,24.523405,118.16653,45.6,22,1592928106,1
9,0574f85e63f873b7a5b931392fce35c3,24.524872,118.166903,39.3,7,1592928121,1
10,0574f85e63f873b7a5b931392fce35c3,24.526483,118.16685,40.3,356,1592928136,1
11,0574f85e63f873b7a5b931392fce35c3,24.527357,118.168064,41.9,104,1592928150,1
12,0574f85e63f873b7a5b931392fce35c3,24.526493,118.170245,59.4,113,1592928165,1
13,0574f85e63f873b7a5b931392fce35c3,24.525392,118.172975,73.4,113,1592928180,1
14,0574f85e63f873b7a5b931392fce35c3,24.524158,118.175097,62.3,137,1592928195,1
15,0574f85e63f873b7a5b931392fce35c3,24.52224,118.175928,52.1,172,1592928210,1
16,0574f85e63f873b7a5b931392fce35c3,24.520223,118.175923,58.1,181,1592928225,1
17,0574f85e63f873b7a5b931392fce35c3,24.518163,118.175964,37.6,169,1592928240,1
